,CWD_Status,Case_ID,Province,Sex,Species
8230,Negative,19725,Alberta,Male,White-tailed Deer
8231,Negative,19726,Alberta,Male,White-tailed Deer
8232,Negative,19727,Alberta,Male,White-tailed Deer
8233,Negative,19728,Alberta,Male,White-tailed Deer
8234,Negative,19729,Alberta,Male,White-tailed Deer
8235,Negative,19730,Alberta,Male,White-tailed Deer
8236,Negative,19731,Alberta,Male,White-tailed Deer
8237,Negative,19732,Alberta,Male,White-tailed Deer
8238,Negative,19733,Alberta,Male,White-tailed Deer
8239,Negative,19734,Alberta,Male,White-tailed Deer
8240,Negative,19735,Alberta,Male,White-tailed Deer
8241,Negative,502,Alberta,Female,Mule Deer
8242,Negative,503,Alberta,Female,Mule Deer
8243,Negative,504,Alberta,Female,Mule Deer
8244,Negative,505,Alberta,Female,Mule Deer
8245,Negative,506,Alberta,Female,Mule Deer
8246,Negative,507,Alberta,Female,Mule Deer
8247,Negative,508,Alberta,Female,Mule Deer
8248,Negative,1267,Alberta,Female,Mule Deer
8249,Negative,1268,Alberta,Female,Mule Deer
8250,Negative,1269,Alberta,Female,Mule Deer
8251,Negative,1270,Alberta,Female,Mule Deer
8252,Negative,1271,Alberta,Female,Mule Deer
8253,Negative,1272,Alberta,Female,Mule Deer
8254,Negative,1273,Alberta,Female,Mule Deer
8255,Negative,1274,Alberta,Female,Mule Deer
8256,Negative,1275,Alberta,Female,Mule Deer
8257,Negative,1276,Alberta,Female,Mule Deer
8258,Negative,1277,Alberta,Female,Mule Deer
8259,Negative,1278,Alberta,Female,Mule Deer
8260,Negative,1279,Alberta,Female,Mule Deer
8261,Negative,1280,Alberta,Female,Mule Deer
8262,Negative,1281,Alberta,Female,Mule Deer
8263,Negative,1282,Alberta,Female,Mule Deer
8264,Negative,8495,Alberta,Female,White-tailed Deer
8265,Negative,8496,Alberta,Female,White-tailed Deer
8266,Negative,8497,Alberta,Female,White-tailed Deer
8267,Negative,8498,Alberta,Female,White-tailed Deer
8268,Negative,8499,Alberta,Female,White-tailed Deer
8269,Negative,8500,Alberta,Female,White-tailed Deer
8270,Negative,8501,Alberta,Female,White-tailed Deer
8271,Negative,8502,Alberta,Female,White-tailed Deer
8272,Negative,8503,Alberta,Female,White-tailed Deer
8273,Negative,9694,Alberta,Female,White-tailed Deer
8274,Negative,9695,Alberta,Female,White-tailed Deer
8275,Negative,9696,Alberta,Female,White-tailed Deer
8276,Negative,9697,Alberta,Female,White-tailed Deer
8277,Negative,9698,Alberta,Female,White-tailed Deer
8278,Negative,9699,Alberta,Female,White-tailed Deer
8279,Negative,9700,Alberta,Female,White-tailed Deer
8280,Negative,9701,Alberta,Female,White-tailed Deer
8281,Negative,9702,Alberta,Female,White-tailed Deer
8282,Negative,9703,Alberta,Female,White-tailed Deer
8283,Negative,9704,Alberta,Female,White-tailed Deer
8284,Negative,9705,Alberta,Female,White-tailed Deer
8285,Negative,9706,Alberta,Female,White-tailed Deer
8286,Negative,9707,Alberta,Female,White-tailed Deer
8287,Negative,9708,Alberta,Female,White-tailed Deer
8288,Negative,9709,Alberta,Female,White-tailed Deer
8289,Negative,9710,Alberta,Female,White-tailed Deer
8290,Negative,9711,Alberta,Female,White-tailed Deer
8291,Negative,9712,Alberta,Female,White-tailed Deer
8292,Negative,9713,Alberta,Female,White-tailed Deer
8293,Negative,9714,Alberta,Female,White-tailed Deer
8294,Negative,9715,Alberta,Female,White-tailed Deer
8295,Negative,9716,Alberta,Female,White-tailed Deer
8296,Negative,9717,Alberta,Female,White-tailed Deer
8297,Negative,9718,Alberta,Female,White-tailed Deer
8298,Negative,9719,Alberta,Female,White-tailed Deer
8299,Negative,9720,Alberta,Female,White-tailed Deer
8300,Negative,9721,Alberta,Female,White-tailed Deer
8301,Negative,9722,Alberta,Female,White-tailed Deer
8302,Negative,9723,Alberta,Female,White-tailed Deer
8303,Negative,9724,Alberta,Female,White-tailed Deer
8304,Negative,9725,Alberta,Female,White-tailed Deer
8305,Negative,9726,Alberta,Female,White-tailed Deer
8306,Negative,9727,Alberta,Female,White-tailed Deer
8307,Negative,9728,Alberta,Female,White-tailed Deer
8308,Negative,9729,Alberta,Female,White-tailed Deer
8309,Negative,9730,Alberta,Female,White-tailed Deer
8310,Negative,9731,Alberta,Female,White-tailed Deer
8311,Negative,9732,Alberta,Female,White-tailed Deer
8312,Negative,9733,Alberta,Female,White-tailed Deer
8313,Negative,9734,Alberta,Female,White-tailed Deer
8314,Negative,9735,Alberta,Female,White-tailed Deer
8315,Negative,9736,Alberta,Female,White-tailed Deer
8316,Negative,9737,Alberta,Female,White-tailed Deer
8317,Negative,9738,Alberta,Female,White-tailed Deer
8318,Negative,9739,Alberta,Female,White-tailed Deer
8319,Negative,9740,Alberta,Female,White-tailed Deer
8320,Negative,9741,Alberta,Female,White-tailed Deer
8321,Negative,9742,Alberta,Female,White-tailed Deer
8322,Negative,9743,Alberta,Female,White-tailed Deer
8323,Negative,9744,Alberta,Female,White-tailed Deer
8324,Negative,9745,Alberta,Female,White-tailed Deer
8325,Negative,9746,Alberta,Female,White-tailed Deer
8326,Negative,9747,Alberta,Female,White-tailed Deer
8327,Negative,9748,Alberta,Female,White-tailed Deer
8328,Negative,9749,Alberta,Female,White-tailed Deer
8329,Negative,9750,Alberta,Female,White-tailed Deer
8330,Negative,9751,Alberta,Female,White-tailed Deer
8331,Negative,9752,Alberta,Female,White-tailed Deer
8332,Negative,9753,Alberta,Female,White-tailed Deer
8333,Negative,9754,Alberta,Female,White-tailed Deer
8334,Negative,9755,Alberta,Female,White-tailed Deer
8335,Negative,9756,Alberta,Female,White-tailed Deer
8336,Negative,9757,Alberta,Female,White-tailed Deer
8337,Negative,9758,Alberta,Female,White-tailed Deer
8338,Negative,9759,Alberta,Female,White-tailed Deer
8339,Negative,9760,Alberta,Female,White-tailed Deer
8340,Negative,9761,Alberta,Female,White-tailed Deer
8341,Negative,9762,Alberta,Female,White-tailed Deer
8342,Negative,9763,Alberta,Female,White-tailed Deer
8343,Negative,9764,Alberta,Female,White-tailed Deer
8344,Negative,9765,Alberta,Female,White-tailed Deer
8345,Negative,9766,Alberta,Female,White-tailed Deer
8346,Negative,13245,Alberta,Male,Mule Deer
8347,Negative,13246,Alberta,Male,Mule Deer
8348,Negative,13247,Alberta,Male,Mule Deer
8349,Negative,13248,Alberta,Male,Mule Deer
8350,Negative,13249,Alberta,Male,Mule Deer
8351,Negative,13250,Alberta,Male,Mule Deer
8352,Negative,13251,Alberta,Male,Mule Deer
8353,Negative,13252,Alberta,Male,Mule Deer
8354,Negative,13888,Alberta,Male,Mule Deer
8355,Negative,13889,Alberta,Male,Mule Deer
