Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
30074,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,584337.2049,5831474.107,Mule Deer,Female,Negative
30075,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,582629.1866,5831719.324,Mule Deer,Female,Negative
30076,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,587984.3732,5831967.493,Mule Deer,Female,Negative
30077,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,587984.3732,5831967.493,Mule Deer,Female,Negative
30078,Saskatchewan,Hunter,2005-12-03 0:00,12,2005,577543.6103,5832095.708,Mule Deer,Female,Negative
30079,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,577545.8072,5832099.451,Mule Deer,Female,Negative
30080,Saskatchewan,Hunter,2005-12-03 0:00,12,2005,571342.3344,5832004.784,Mule Deer,Female,Negative
30081,Saskatchewan,Hunter,2005-12-03 0:00,12,2005,577545.8072,5832099.451,Mule Deer,Female,Negative
30082,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,587557.8974,5832343.061,Mule Deer,Female,Negative
30083,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,587557.8974,5832343.061,Mule Deer,Female,Negative
30084,Saskatchewan,Hunter,2005-12-16 0:00,12,2005,585135.2366,5832300.176,Mule Deer,Female,Negative
30085,Saskatchewan,Hunter,2005-12-16 0:00,12,2005,585940.5355,5832314.297,Mule Deer,Female,Negative
30086,Saskatchewan,Hunter,2005-12-01 0:00,12,2005,587594.5167,5832733.14,Mule Deer,Female,Negative
30087,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,578196.3184,5832573.409,Mule Deer,Female,Negative
30088,Saskatchewan,Hunter,2005-10-31 0:00,10,2005,578196.3184,5832573.409,Mule Deer,Female,Negative
30089,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,578196.3184,5832573.409,Mule Deer,Male,Negative
30090,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,577812.9931,5833030.851,Mule Deer,Female,Negative
30091,Saskatchewan,Hunter,2005-11-22 0:00,11,2005,586737.4339,5833181.417,Mule Deer,Female,Negative
30092,Saskatchewan,Hunter,2005-11-15 0:00,11,2005,598580.8673,5833406.459,Mule Deer,Female,Negative
30093,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,572456.4715,5832948.325,Mule Deer,Female,Negative
30094,Saskatchewan,Hunter,2005-11-29 0:00,11,2005,577812.9931,5833030.851,Mule Deer,Female,Negative
30095,Saskatchewan,Hunter,2005-11-24 0:00,11,2005,577812.9931,5833030.851,Mule Deer,Female,Negative
30096,Saskatchewan,Hunter,2005-11-07 0:00,11,2005,572456.4715,5832948.325,Mule Deer,Male,Negative
30097,Saskatchewan,Hunter,2005-11-04 0:00,11,2005,572456.4715,5832948.325,Mule Deer,Female,Negative
