id,province,case_id,species,sex,cwd_status
471,Saskatchewan,30394,"White-tailed Deer",Female,Negative
472,Saskatchewan,30395,"White-tailed Deer",Female,Negative
473,Saskatchewan,30396,"White-tailed Deer",Female,Negative
474,Saskatchewan,30397,"White-tailed Deer",Female,Negative
475,Saskatchewan,30398,"White-tailed Deer",Female,Negative
476,Saskatchewan,30399,"White-tailed Deer",Male,Negative
477,Saskatchewan,30400,"White-tailed Deer",Male,Negative
478,Saskatchewan,30401,"White-tailed Deer",Female,Negative
479,Saskatchewan,30402,"White-tailed Deer",Female,Negative
480,Saskatchewan,30403,"White-tailed Deer",Female,Negative
481,Saskatchewan,30404,"White-tailed Deer",Female,Negative
482,Saskatchewan,30405,"White-tailed Deer",Female,Negative
483,Saskatchewan,30406,"White-tailed Deer",Female,Negative
484,Saskatchewan,30407,"White-tailed Deer",Female,Negative
485,Saskatchewan,30408,"White-tailed Deer",Female,Negative
486,Saskatchewan,30409,"White-tailed Deer",Female,Negative
487,Saskatchewan,30410,"White-tailed Deer",Male,Negative
488,Saskatchewan,30411,"White-tailed Deer",Male,Negative
489,Saskatchewan,30412,"White-tailed Deer",Female,Negative
490,Saskatchewan,30413,"White-tailed Deer",Female,Negative
491,Saskatchewan,30414,"White-tailed Deer",Female,Negative
492,Saskatchewan,30415,"White-tailed Deer",Female,Negative
493,Saskatchewan,30416,"White-tailed Deer",Female,Negative
494,Saskatchewan,30417,"White-tailed Deer",Female,Negative
495,Saskatchewan,30418,"White-tailed Deer",Female,Negative
496,Saskatchewan,30419,"White-tailed Deer",Female,Negative
497,Saskatchewan,30420,"White-tailed Deer",Female,Negative
498,Saskatchewan,30421,"White-tailed Deer",Female,Negative
499,Saskatchewan,30422,"White-tailed Deer",Female,Negative
